主题,生态区域,污染来源,治理措施,实施主体,效果数据
"零碳航运中心管理团队任命","全球航运","航运排放","研究和开发零碳技术","Mærsk Mc-Kinney Møller Center for Zero Carbon Shipping","目标到 2050 年减少温室气体排放"
"油轮爆炸导致石油泄漏风险","沙特红海舒凯克","油轮爆炸","清理油污，使用围栏、吸附垫等","美国海岸警卫队, Choctaw Defense Services","泄漏量未知，但已控制，无污染报告"
"核货船退役回收","苏格兰利斯","核材料（潜在风险）","安全退役和回收","Dales Marine Services, International Nuclear Services","98% 回收率，减少碳足迹"
"建造风电开发船","英国海域","传统船舶运营","使用柴油-电动混合动力，最终氢燃料电池","Harland & Wolff, Triumph Subsea Services","支持海上风电，减少排放"
"海岸警卫队船只油泄漏","阿拉斯加妇女湾","液压油泄漏","部署围栏、吸附垫、撇油器","美国海岸警卫队, Choctaw Defense Services","泄漏量未知（最多 914 加仑），清理中"
"泰国首支电动渡轮船队","曼谷湄南河","渡轮排放","使用电动推进器，零排放","曼谷大都会管理局, Torqeedo","零排放，减少空气污染"
"美国内河航道资金和生态系统项目","美国内河航道（如密西西比河）","航道运营影响","导航和生态系统可持续性计划（NESP）","美国陆军工兵部队, Waterways Council Inc.","改善导航和生态栖息地"
"全电动拖船发射","奥克兰港","拖船排放","使用全电动推进","Ports of Auckland, Damen","零排放，目标 2040 年零排放组织"
"交付环保游轮","地中海等","游轮排放","符合 Green Star 3 标准，减少排放","Fincantieri, Costa Cruises","高环保标准，减少环境影响"
"为 VLGC 安装 LPG 燃料供应系统","全球海域","传统燃料排放","使用 LPG 燃料","BW LPG, Wärtsilä","减少排放，迈向零碳"
"FLNG 设计获得原则批准","海上","传统能源","使用 FLNG 技术","Wison Offshore and Marine, ABS","支持清洁能源"
"为 PSV 安装电池系统","墨西哥湾","船舶排放","使用电池系统，减少发电机使用","Edison Chouest Offshore","减少燃料消耗和排放"
"为散货船安装转子帆","全球航运","船舶燃料消耗","使用转子帆辅助推进","Norsepower, 匿名船东","燃料节省 5-20%，减少排放"
"风动力货船设计","大西洋航线","传统货船排放","使用翼帆，风动力为主","Wallenius Marine","碳排放减少 90%"
"智能航运和数字化减少排放","全球航运","航运排放","使用 AI、大数据优化性能","航运业参与者","减少燃料消耗和排放"
"新 LNG 加注船下水","芬兰湾和波罗的海","传统加注操作","使用 LNG 燃料，零排放设计","Gazprom Neft","零排放，使用 LNG 剥离气"
"混合动力帆船减少碳足迹","太平洋航线","传统货船排放","使用风力和电动发动机","Sailcargo Inc.","零排放运输"
"为油轮安装能源存储系统","全球海域","船舶排放","使用 ESS，峰值削峰，岸电连接","WE Tech Solutions, Rederi AB Donsötank","节省燃料，减少排放"
"退出干散货，转向海上风电","海上风电领域","干散货船排放","转向海上风电安装船","Scorpio Bulkers","减少干散货业务排放"
"船东因污染违规被罚款","美国水域（北卡罗来纳等）","船舶非法排放油污水和垃圾","执法和罚款，实施环境合规计划","美国司法部, 海岸警卫队","罚款 1200 万美元， probation 4 年"
"塑料污染治理",巴哈马,"塑料污染","教育年轻人,推动政府实施一次性塑料禁令","Kristal Ambrose, Bahamas Plastic Movement, 政府","全国性禁令于2020年1月生效，可作为岛屿国家模型"
"船舶脱碳",北海,"船舶排放（碳排放）","开发技术路线图，使用替代燃料","英国政府, ORE Catapult, Workboat Association","路线图计划在2021年春季发布，旨在减少碳排放"
"绿色船舶建设","全球（用于海上风电）","船舶运营排放","使用生物燃料,混合动力,未来燃料就绪发动机","Van Oord","减少CO2, NOx, SOx排放，目标到2050年碳中和"
"减少水下噪音","法罗群岛周边","船舶水下噪音","使用柴油电力推进,弹性安装发电机,超安静螺旋桨","Bureau Veritas, MEST Shipyard","船被确认为最安静的船之一，减少水下辐射噪音"
"石油泄漏风险治理","委内瑞拉东部海岸的Corocoro油田","石油设施泄漏风险","转移原油到驳船","PDVSA","转移130万桶原油，减少泄漏风险"
"船舶润滑系统污染防止",全球海域,"船舶润滑剂排放","使用海水润滑系统替代油基润滑剂","Thordon Bearings","零污染解决方案，但修正案可能忽略此点"
"绿色航运和环保认证",五大湖,"船舶运营","加入Green Marine认证程序，减少排放","Great Lakes Group","通过认证，改善环境绩效"
"绿色多用途船舶",全球海域,"船舶运营排放","使用更少燃料，降低排放","Island Offshore","拖力记录477吨，比多艘船更高效，减少燃料和排放"
"LPG双燃料船舶",全球海域,"船舶燃料排放","使用LPG作为双燃料，减少环境影响","Daehan Shipbuilding, DNV GL","设计未来环保，满足市场需求"
"LNG加注设施","阿尔赫西拉斯港（西班牙）","传统船用燃料排放","建设LNG加注船，提供清洁燃料","欧洲委员会, Enagás, Port Authority of Algeciras Bay","减少SOx 100%, NOx 80-90%, CO2 20-30%，到2030年减少200万吨CO2"
"甲醇燃料船舶",全球海域,"船舶燃料排放","使用甲醇双燃料发动机，减少SOx, PM, NOx","NYK Bulkship (Asia) Pte. Ltd., Waterfront Shipping","减少SOx约99%，符合IMO法规"
"绿色氨燃料船舶",挪威海岸,"传统船用燃料排放","使用绿色氨作为燃料","Wärtsilä, Grieg Edge","计划2024年运营，无温室气体排放"
"航线优化减少排放",全球海域,"船舶燃料消耗","使用AI和多种数据源优化航线","VoyOpt","燃料消耗减少几个百分点到7-8%，更快运输时间"
"LNG运输环境审查取消",美国海域,"LNG运输排放","取消环境审查要求","美国能源部","可能增加环境风险，但规则旨在节省时间和费用"
"北极航行增加导致环境风险",北极,"船舶排放,石油泄漏风险","UN批准HFO禁令，但被批评有漏洞","国际组织, 船东","2020年62次全程航行，2019年37次；增加环境风险"
"LNG燃料汽车运输船",全球海域,"传统燃料排放","使用LNG燃料，减少CO2, SOx, NOx","NYK Line","CO2减少40%, SOx 99%, NOx 86%"
"LNG燃料邮轮",北美水域,"邮轮排放","使用LNG推进","Carnival Cruise Line, Meyer Turku","更环保，减少排放"
"环保油驳船",美国水域,"船舶排放","符合MARPOL Annex VI Tier III标准，减少氮氧化物排放","Greenbrier Marine, OSG","符合排放标准"
"可持续发展指南",全球海域,"各种船舶运营污染","提供 notations 和指南，减少环境影响","ABS","帮助对齐SDGs，促进绿色融资"
"LNG双燃料集装箱船","欧洲-远东航线","集装箱船排放","使用LNG双燃料发动机","Hapag-Lloyd, DSME","减少排放，提高竞争力"
"压载水处理",全球海域,"压载水排放","安装ElectroCleen系统，消毒压载水","Heerema Marine Contractors, Techcross","减少微生物，防止污染"
"减少船舶噪音",全球海域,"船舶噪音","遵循IMO噪音代码，测试分区性能","Noise Control Engineering, 船东","改善船员舒适度，减少听力风险"
"海上风电服务船","北海等","船舶排放","使用电池包,未来燃料细胞，低排放操作","REM Offshore, Havyard Design & Solutions","准备零排放操作，减少环境影响"
"船舶改装使用LPG双燃料以减少排放","全球航运","船舶排放（燃料油）","发动机改装为双燃料类型（MAN B&W 6G60ME-C9.5-LGIP），使用LPG作为燃料","BW LPG, MAN Energy Solutions","使用LPG减少SOx 99%, CO2 15%, NOx 10%, 颗粒物90%"
"绿色融资用于环境先进船舶","全球航运","船舶排放","提供融资解决方案用于清洁技术","EnTrust Global","未具体说明"
"航运金融贷款未达到碳减排目标","全球航运","船舶CO2排放","Poseidon Principles，评估贷款组合是否对齐IMO目标","Bpifrance Assurance Export, Export Credit Norway, ING 等","2019年只有3/15家银行对齐IMO目标"
"投资绿色航运资产以减少排放","全球航运","船舶排放","购买低排放船舶，构建租赁组合","EnTrust Global","未具体说明"
"法律确认支持海上风电开发","美国专属经济区","化石燃料能源","强制执行Jones Act，促进海上风电","美国国会，John Garamendi","可能创造80,000工作 annually from 2025-2035, 28 GW风能"
"建设海上风电涡轮机组装中心","纽约水域","化石燃料能源","开发组装中心，促进海上风电","纽约州能源研究和发展局（NYSERDA），Schumer","可能创造数千工作，生成1,500 MW清洁能源"
"船舶混合动力升级以减少排放","全球航运","船舶排放","安装混合动力系统（电子DC总线链接）","Wärtsilä, Østensjø Rederi","减少燃料消耗和碳足迹"
"建造混合动力研究船以减少排放","尚普兰湖","船舶排放","混合推进系统，电池存储","Derecktor Shipyards, BAE Systems, Chartwell Marine","60%的航行可全电动操作，减少燃料消耗"
"矿业公司设定净零排放目标","全球","矿业活动排放","投资于钴、镍、铜等金属，减少碳足迹","Glencore","到2050年净零排放，2035年减少40%"
"氨燃料电池用于船舶零排放","全球航运","船舶排放","开发和使用氨燃料电池","ShipFC项目伙伴（University of Strathclyde, Eidesvik, Equinor等）","允许船舶每年运行3,000小时清洁燃料"
"收购工作船以部署氢动力","欧洲海上风电部门","船舶排放","使用氢发动机，开发氢加注站","CMB, Windcat Workboats","减少排放，第一艘氢动力CTV在2021年运营"
"AI系统优化船舶操作以减少能耗","全球航运","船舶燃料消耗","使用AI和模拟优化推进","Lean Marine, Molflow, 学术机构","提高能效，减少排放"
"新拖船符合低排放标准","比利时泽布吕赫港","船舶排放","使用符合IMO Tier III的发动机","Boluda Towage, Damen","减少排放（符合IMO Tier III）"
"订购低排放CTV用于海上风电","法国Saint-Nazaire海上风电场","船舶排放","使用混合动力，氢就绪设计","GE Renewable Energy, Louis Dreyfus Armateurs, Tidal Transit","减少燃料消耗，服务480 MW风电场"
"LNG混合动力拖船减少排放","新加坡港","船舶排放","使用LNG燃料和电池混合系统","Sembcorp Marine, Rolls-Royce, ABB","无硫氧化物，低氮氧化物，颗粒物极少"
"气候命令减少化石燃料开发","美国联邦土地和水域","化石燃料开采和燃烧","暂停租赁，削减补贴，促进可再生能源","拜登政府，内政部","目标加倍海上风电 by 2030, 保护30%土地和水域"
"重启海上风电许可","美国马萨诸塞州水域","化石燃料能源","推进海上风电项目","Vineyard Wind, BOEM","供电400,000家庭"
"渔船现代化以减少排放和噪音","阿拉斯加白令海","船舶排放和噪音","发动机升级，安装消音器，优化设计","O'Hara Corporation, Elliott Bay Design Group","噪音从130 dB降至85 dB，能效提高"
"开发海军电动推进系统以减少排放","全球海军","船舶排放","电动推进，低排放电源","STADT AS, 挪威国防部","减少碳足迹，提高能效"
"零排放工作船使用电动推进","全球水域","船舶排放","电动推进系统，水翼","Artemis Technologies, Tuco Marine Group","零排放，速度25-30节，范围60海里"
"混合和电动推进系统减少船舶排放","全球航运","船舶排放","HybriGen系统，电池和可变速度发电机","BAE Systems","燃料节省达30%，减少排放"
"气候行动暂停石油天然气租赁","美国联邦土地和水域","化石燃料","暂停租赁，促进海上风电","拜登政府","目标加倍海上风电 by 2030"
"探索氢燃料用于集装箱船","全球航运","船舶排放","研发氢和氢衍生燃料","MSC, Hydrogen Council","未具体，但旨在 decarbonization"
"LNG终端提供清洁能源","加纳Tema","化石燃料能源","进口LNG，减少排放","Tema LNG, Shell","年供应1.7百万吨LNG，占加纳容量30%"
"数字优化船舶性能以减少排放","全球航运","船舶燃料消耗","实时数据分析和优化","GreenSteam, KVH Industries","提高能效，减少排放"
"投资LNG终端以多样化能源","希腊Alexandroupolis","化石燃料","建设FSRU，进口LNG","Gastrade, Bulgartransgaz","年再气化5.5十亿立方米天然气，2023年运营"
"碳中性 marine lubricants 减少排放","全球航运","船舶操作排放","使用碳中性润滑剂，抵消排放","Shell Marine, Carnival","抵消CO2排放，支持Carnival 到2030年减少40%碳 emission"
"建造甲醇燃料油轮",,"传统船舶燃料排放","使用甲醇燃料，优化能源效率","Stena Bulk, Proman Shipping, Guangzhou Shipyard International","每年使用12,500吨甲醇，减少碳排放"
"深海采矿系统批准","南海","深海采矿环境影响","可持续子海采矿，符合ABS指南","ABS, China Merchants Industry (CMI)","支持低碳经济"
"全电动油轮使用能源存储系统","东京湾","传统船舶排放","使用电池系统，零排放","Corvus Energy, Kawasaki Heavy Industries, Asahi Tanker","零排放CO2、NOx、SOx和颗粒物"
"FPSO绿色回收","北海","废弃FPSO","拆卸和绿色回收","M.A.R.S. Europe, Teekay","促进循环经济"
"LNG加注船指南",,"传统船舶燃料排放","使用LNG燃料，制定安全标准","ClassNK","LNG减少CO2、SOx、NOx排放"
"涡轮增压器服务合作",,"发动机排放","提高发动机效率，减少排放","ABB, Hyundai Global Service, HHI-EMD","减少运营成本和排放"
"退出海上钻井平台业务，转向可再生能源",,"石油钻井排放","转向可再生能源和天然气","Keppel Offshore & Marine","订单中82%是可再生能源和天然气解决方案"
"海上风能和潮汐能技术","北极, 加拿大Bay of Fundy","化石燃料排放","开发可再生能源技术","各种公司和研究机构","欧洲风能容量目标: 2030年60GW, 2050年300GW"
"美国第一艘海上风电场服务运营船","美国东北部海上风电场","化石燃料排放","使用柴油-电力推进，减少排放","ABS, Edison Chouest Offshore, Ørsted, Eversource","减少燃料消耗和温室气体排放"
"交付新集装箱船","跨太平洋航线","传统船舶排放","使用环保技术如减少阻力、废气处理系统","Evergreen Line, Samsung Heavy Industries, Imabari Shipbuilding","减少燃料消耗和温室气体排放"
"废物处理系统协议","游轮运营海域","游轮废物排放","安装废物水处理系统，符合IMO标准","Wärtsilä, Carnival Corporation","超越IMO排放标准"
"清理海洋塑料污染","太平洋垃圾带","塑料污染","扩展合作伙伴关系，部署清理技术","Maersk Supply Service, The Ocean Cleanup","目标2040年减少90%漂浮塑料"
"巴西内河水道发展","巴西河流","公路运输排放","增加内河运输，减少碳排放","巴西国家运输联合会等","目前仅5%货物通过水路运输，潜力大"
"渡轮行业应对挑战和环保法规",,"船舶排放","遵守IMO的EEXI和CII规定，提高能效","Interferry, 渡轮运营商","目标2030年碳强度比2008年减少40%"
"交付LNG运输船",,"传统燃料排放","使用LNG燃料，部分再液化系统减少货物损失","Sovcomflot, Shell, Hyundai Samho Heavy Industries","减少氮氧化物排放，减少货物损失"
"打捞倾覆船舶","St. Simons Sound, Ga.","船舶倾覆可能泄漏污染物","切割和回收船体部分，环境污染监测","打捞队, Gallagher Marine Systems","正在进行，无具体数据"
"交付穿梭油轮","巴西盆地","传统船舶排放","使用环保技术，符合IMO Tier 3标准","AET, Samsung Heavy Industries, Shell","燃料效率提高25-30%"
"暂停联邦石油和天然气许可","美国联邦水域","石油和天然气开采排放","暂停许可，评估环境影响","拜登政府，内政部","旨在减少温室气体排放"
"能源存储系统在北美海事市场扩展","北美海域","船舶排放","使用电池系统，混合或全电动推进","Corvus Energy 等","已部署24 MWh，燃料节省20-30%"
"交付自卸转运散货船",,"传统推进系统排放","使用Azipod推进，提高效率","Chengxi Shipyard, Oldendorff Carriers, ABB","提高操纵性和效率"
"克罗地亚LNG终端开始运营","亚得里亚海","传统能源排放","使用LNG，多样化供应","LNG Hrvatska","容量2.6 bcm/年"
"用氢复制LNG供应链",,"化石燃料排放","开发氢运输和供应","Kawasaki Heavy Industries","目标2030年氢需求300万吨，成本降低"
"北极海洋微塑料污染","北极海洋","微塑料纤维，来自纺织品洗涤","研究、提高纺织品可持续性，安装 lint trap","Ocean Wise Conservation Association, 等","平均49微塑料颗粒/立方米，73%聚酯纤维"
"渡轮公司准备反弹","波罗的海","船舶排放","交付气候智能船舶，使用环保技术","Viking Line","新船Viking Glory将减少环境影响"
"平台供应船用于海上风电场","法国Saint-Brieuc海上风电场","化石燃料排放","支持可再生能源项目","Rem Offshore, Van Oord","无具体数据"
"交付拖船","澳大利亚Geraldton港",,"环保设计，减少排放","Svitzer Australia, ASL Shipyard","符合环保标准"
"船东低碳燃料选择","全球海洋","船舶燃料排放","采用LNG、氢等低硫燃料","船东，燃料供应商","IMO目标减少碳强度40% by 2030"
"船舶设计公司历史",,"船舶排放","设计环保船舶，如LNG燃料拖船","Robert Allan Ltd.","提到 decarbonization 挑战"
"打击非法捕捞","全球海洋","非法捕捞导致渔业资源枯竭","加强监控和执法，支持发展中国家","NOAA, USAID, 美国国务院, 海岸警卫队","无具体数据，但旨在保护渔业可持续性"
"翼帆辅助推进系统批准",,"船舶排放","使用风能辅助推进，减少燃料消耗","DNV GL, KSOE, SK Shipping","减少燃料消耗超过6%"
"投资建造零排放渡轮",,"传统渡轮排放","使用氢翼船，零排放","Gunvor Group, Artemis Technologies","节省燃料高达90%，2023年试点"
"船舶禁令以保护海洋环境","澳大利亚水域","维护不善的船舶导致污染风险","禁止船舶进入港口24个月","澳大利亚海事安全局(AMSA)","首次如此长时间的禁令，保护海洋环境"
"海洋公路以减少排放","南佛罗里达","卡车运输排放","使用水路运输替代公路运输","Port Everglades, 美国海事管理局(MARAD)","减少交通和排放，提高效率"
"油轮扣押和石油泄漏","印尼水域","非法石油转移导致石油泄漏","扣押船只，进行调查","印尼当局","石油泄漏，61名船员被扣留"
"LNG动力疏浚以减少排放","比利时 Flanders, Scheldt river","疏浚作业排放","使用LNG作为燃料","DEME","减少排放，更环保"
"LNG动力游轮以减少排放","全球航线","船舶排放","使用LNG燃料","Costa Cruises, Meyer Turku","消除二氧化硫排放，减少颗粒物95-100%，氮氧化物85%，CO2 up to 20%"
"增强洗涤器和EGR系统以减少排放","全球海域","船舶废气排放","使用水处理系统和废气再循环","Valmet","减少排放，无需化学品处理，最小污泥"
"LNG运输船技术发展","全球海域","船舶燃料排放","使用LNG燃料和B型货舱","现代尾浦造船厂(Hyundai Mipo Dockyard), 韩国船级社(Korean Register)","符合IGC Code，支持LNG作为环保燃料"
"卫星跟踪船舶排放","全球海域","船舶温室气体和污染排放","使用卫星分析进行排放审计","莱斯特大学(University of Leicester), 英国航天局(UK Space Agency)","帮助减少碳排放，支持气候目标"
"油轮扣押和石油泄漏","印尼水域","非法石油转移导致石油泄漏","扣押船只，调查","印尼海岸警卫队","石油泄漏，61名船员被扣"
"氨燃料就绪油轮以减少排放","全球海域","船舶温室气体排放","使用氨燃料","Avin International LTD, 新时代造船(New Times Shipbuilding)","零碳排放，帮助IMO 2050 GHG目标"
"海上风电场船舶以减少排放","法国圣纳泽尔海上风电场","船舶燃料排放","使用半小水线面船体和T-Foil减少燃料消耗","Louis Dreyfus Armateurs, Tidal Transit","减少燃料消耗，提高效率"
"环保柴油舷外发动机","全球海域","发动机排放","使用柴油发动机符合清洁空气法","OXE Marine","EPA批准，更可持续"
"绿色技术投资以减少排放","全球海域","船舶排放","开发绿色船舶和双燃料推进","现代重工(Hyundai Heavy Industries)","投资1万亿韩元，五年内"
"疏浚用于海岸保护","乔治亚和佛罗里达海岸","海岸侵蚀和风暴风险","海滩滋养和维护疏浚","Great Lakes Dredge & Dock Corporation","保护海岸线，提供栖息地"
"海上风电场船以减少排放","全球海域","船舶排放","使用LNG发动机和能源存储解决方案","Kongsberg Maritime, 烟台中集来福士(Yantai CIMC Raffles Offshore)","减少能源消耗达30%，零排放运行"
"转子帆以减少燃料消耗和排放","北海","船舶燃料碳排放","安装转子帆利用风能","Norsepower, SEA-CARGO","燃料消耗和碳排放减少达25%，在良好风况下可单独航行"
"研究船用于海洋保护","波多黎各水域","支持可持续蓝色经济","建造研究船进行海洋研究","All American Marine, BLUETIDE","支持海洋教育和创新"
"环保发动机以减少排放","全球海域","发动机排放","使用新发动机符合EPA Tier 3和IMO II/III","Caterpillar Marine","符合排放标准"
"新能源部门支持海上风电和LNG","美国及邻近区域","传统能源排放","提供海上风电和LNG服务","Crowley","支持可持续能源，减少排放"
"氢动力船舶以实现零排放","欧洲港口间","船舶排放","使用氢基燃料","Havyard","零排放"
"排放法规合规以减少风险","全球海域","船舶排放","数字化优化操作减少排放","船东，如使用NAVTOR系统","燃料消耗减少10%，提高效率"
"海上风电场以减少排放","美国马萨诸塞州海岸","传统能源排放","建设海上风电场","Vineyard Wind (Avangrid, Copenhagen Infrastructure Partners)","为40万户家庭供电，减少碳排放"
"绿氨和氢作为船舶燃料","全球海域","船舶燃料排放","生产绿氨和氢用于燃料","CF Industries, Yara International","零碳排放，潜在大规模应用"
"船舶重新动力以减少排放","阿拉斯加 Prince William Sound","船舶燃料排放","更换发动机为更高效型号","Stan Stephens Cruises, All American Marine","提高燃料效率，减少环境影响"